"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Создание заказа для авторизованного пользователя с валидными ингредиентами","tests","2026-04-16","passed","2026-04-16","TestCreateOrder","Создание заказа","",""
"","562","Получение заказов для авторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestGetOrdersForUser","Получение заказов для пользователя","",""
"","146","Успешная авторизация пользователя","tests","2026-04-16","passed","2026-04-16","TestLoginUser","Авторизация пользователя","",""
"","66","Проверка невозможности создания пользователя если обязательные поля отсутствуют в запросе","tests","2026-04-16","passed","2026-04-16","TestCreateUser","Создание пользователя","",""
"","65","Проверка невозможности изменить данные для неавторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestUpdateUser","Изменение данных пользователя","",""
"","145","Авторизация пользователя с неверным логином/паролем","tests","2026-04-16","passed","2026-04-16","TestLoginUser","Авторизация пользователя","",""
"","66","Проверка невозможности создания пользователя если обязательные поля отсутствуют в запросе","tests","2026-04-16","passed","2026-04-16","TestCreateUser","Создание пользователя","",""
"","219","Создание пользователя, который уже зарегистрирован","tests","2026-04-16","passed","2026-04-16","TestCreateUser","Создание пользователя","",""
"","69","Создание заказа для авторизированного пользователя с невалидными ингредиентами","tests","2026-04-16","passed","2026-04-16","TestCreateOrder","Создание заказа","",""
"","147","Успешное изменение данных авторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestUpdateUser","Изменение данных пользователя","",""
"","149","Успешное изменение данных авторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestUpdateUser","Изменение данных пользователя","",""
"","72","Создание заказа для неавторизованного пользователя с валидными ингредиентами","tests","2026-04-16","passed","2026-04-16","TestCreateOrder","Создание заказа","",""
"","149","Успешное создание уникального пользователя","tests","2026-04-16","passed","2026-04-16","TestCreateUser","Создание пользователя","",""
"","156","Успешное изменение данных авторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestUpdateUser","Изменение данных пользователя","",""
"","66","Проверка невозможности создания пользователя если обязательные поля отсутствуют в запросе","tests","2026-04-16","passed","2026-04-16","TestCreateUser","Создание пользователя","",""
"","67","Создание заказа для авторизированного пользователя без ингредиентов","tests","2026-04-16","passed","2026-04-16","TestCreateOrder","Создание заказа","",""
"","67","Проверка невозможности изменить данные для неавторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestUpdateUser","Изменение данных пользователя","",""
"","66","Получение заказов для неавторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestGetOrdersForUser","Получение заказов для пользователя","",""
"","66","Авторизация пользователя с неверным логином/паролем","tests","2026-04-16","passed","2026-04-16","TestLoginUser","Авторизация пользователя","",""
"","67","Проверка невозможности изменить данные для неавторизованного пользователя","tests","2026-04-16","passed","2026-04-16","TestUpdateUser","Изменение данных пользователя","",""
